announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label,Incident,window_start,window_end
14,9,14,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,11,0.11956521739130435,13,4,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:22,2018-04-24 10:06:23
3,1,3,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,17,0.8947368421052632,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:23,2018-04-24 10:06:24
153,30,153,0,0,0,0,0,0,0,15,2,4.105263157894737,10,0,6,3,3,1,0,0,0,6,87,0.08317399617590822,2,11,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:24,2018-04-24 10:06:25
13,0,13,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,10,0.10989010989010989,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:25,2018-04-24 10:06:26
75,6,75,0,0,0,0,0,0,0,11,2,2.125,3,0,1,5,2,0,0,0,0,1,60,0.12578616352201258,2,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:26,2018-04-24 10:06:27
96,15,96,0,0,0,0,0,0,0,21,2,2.066666666666667,3,0,1,12,2,0,0,0,0,1,84,0.15245009074410162,0,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:27,2018-04-24 10:06:28
64,4,64,0,0,0,0,0,0,0,15,2,2.0,3,0,1,0,1,0,0,0,0,1,63,0.1598984771573604,6,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:28,2018-04-24 10:06:29
8,0,8,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,10,0.17857142857142858,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:29,2018-04-24 10:06:30
3,0,3,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,4,0.21052631578947367,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:30,2018-04-24 10:06:31
15,3,15,0,0,0,0,1,0,1,9,2,1.0,1,0,3,0,0,0,0,0,0,3,5,0.06097560975609756,4,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:31,2018-04-24 10:06:32
3,2,3,0,0,0,0,0,0,0,6,1,0.0,0,0,0,0,0,0,0,0,0,0,6,0.35294117647058826,10,2,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:32,2018-04-24 10:06:33
10,4,10,0,0,0,0,0,0,0,7,2,3.0,3,0,0,0,1,0,0,0,0,0,17,0.4358974358974359,1,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:33,2018-04-24 10:06:34
29,5,29,0,0,0,0,0,0,0,9,2,3.0,3,0,0,0,1,0,0,0,0,0,42,0.2781456953642384,10,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:34,2018-04-24 10:06:35
7,0,7,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:35,2018-04-24 10:06:36
10,2,10,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,23,0.3484848484848485,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:36,2018-04-24 10:06:37
9,4,9,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,5,0.08064516129032258,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:37,2018-04-24 10:06:38
18,4,18,0,0,0,0,0,0,0,8,2,5.0,6,0,0,0,1,0,2,2,0,0,17,0.15178571428571427,6,4,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:38,2018-04-24 10:06:39
21,4,21,0,0,0,0,0,0,0,10,2,3.0,3,0,0,0,1,0,0,0,0,0,13,0.11504424778761062,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:39,2018-04-24 10:06:40
6,2,6,0,0,0,0,0,0,0,9,2,1.0,1,0,1,0,0,0,0,0,0,1,20,0.6060606060606061,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:40,2018-04-24 10:06:41
119,10,119,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,68,0.10397553516819572,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:41,2018-04-24 10:06:42
9,1,9,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,22,0.41509433962264153,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:42,2018-04-24 10:06:43
14,2,14,0,0,0,0,0,0,0,11,2,4.0,4,0,0,0,0,1,0,0,0,0,23,0.23958333333333334,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:43,2018-04-24 10:06:44
6,2,6,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,12,0.375,3,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:44,2018-04-24 10:06:45
40,2,40,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0.06896551724137931,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:45,2018-04-24 10:06:46
21,0,21,0,0,0,0,0,0,0,9,1,0.0,0,0,0,0,0,0,0,0,0,0,7,0.05555555555555555,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:46,2018-04-24 10:06:47
43,9,43,1,0,0,0,1,1,0,9,2,2.0,3,1,0,0,2,0,0,0,1,0,14,0.056451612903225805,2,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:47,2018-04-24 10:06:48
9,2,9,0,0,0,0,0,0,0,6,2,3.0,3,0,0,0,1,0,0,0,0,0,11,0.22916666666666666,4,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:48,2018-04-24 10:06:49
